experiment,Subject_global,N_train,testMSElabels,testMSElabels_Efron,%trials choose right side,%trials choose complex model,bias (true gen),bias (testMSE),bias (testMSE_Efron),bias (testMAE),bias (testTSE),human_Efron_choiceprobdiff
exp1,0,10.0,0.2916666666666667,0.2916666666666667,0.5,0.875,0.375,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3541666666666667,0.5833333333333333
exp1,0,50.0,0.5,0.5208333333333334,0.5416666666666666,0.8541666666666666,0.3541666666666667,0.3541666666666667,0.3333333333333333,0.3541666666666667,0.3333333333333333,0.33333333333333326
exp1,1,10.0,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.9375,0.4375,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.4166666666666667,0.6458333333333333
exp1,1,50.0,0.5,0.5208333333333334,0.3541666666666667,0.5625,0.0625,0.0625,0.041666666666666664,0.0625,0.041666666666666664,0.04166666666666663
exp1,2,10.0,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.25,-0.25,-0.041666666666666664,-0.041666666666666664,-0.041666666666666664,-0.2708333333333333,-0.041666666666666685
exp1,2,50.0,0.5,0.5208333333333334,0.5,0.2708333333333333,-0.22916666666666666,-0.22916666666666666,-0.25,-0.22916666666666666,-0.25,-0.25000000000000006
exp1,3,10.0,0.2916666666666667,0.2916666666666667,0.6458333333333334,0.4583333333333333,-0.041666666666666664,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.0625,0.16666666666666663
exp1,3,50.0,0.5,0.5208333333333334,0.5,0.4375,-0.0625,-0.0625,-0.08333333333333333,-0.0625,-0.08333333333333333,-0.08333333333333337
exp1,4,10.0,0.2916666666666667,0.2916666666666667,0.375,0.7708333333333334,0.2708333333333333,0.4791666666666667,0.4791666666666667,0.4791666666666667,0.25,0.4791666666666667
exp1,4,50.0,0.5,0.5208333333333334,0.3333333333333333,0.6458333333333334,0.14583333333333334,0.14583333333333334,0.125,0.14583333333333334,0.125,0.125
exp1,5,10.0,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.0,-0.5,-0.2916666666666667,-0.2916666666666667,-0.2916666666666667,-0.5208333333333334,-0.2916666666666667
exp1,5,50.0,0.5,0.5208333333333334,0.6458333333333334,0.0,-0.5,-0.5,-0.5208333333333334,-0.5,-0.5208333333333334,-0.5208333333333334
exp1,6,10.0,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.5625,0.0625,0.2708333333333333,0.2708333333333333,0.2708333333333333,0.041666666666666664,0.2708333333333333
exp1,6,50.0,0.5,0.5208333333333334,0.4791666666666667,0.625,0.125,0.125,0.10416666666666667,0.125,0.10416666666666667,0.10416666666666663
exp1,7,10.0,0.2916666666666667,0.2916666666666667,0.5,0.6666666666666666,0.16666666666666666,0.375,0.375,0.375,0.14583333333333334,0.37499999999999994
exp1,7,50.0,0.5,0.5208333333333334,0.4166666666666667,0.4583333333333333,-0.041666666666666664,-0.041666666666666664,-0.0625,-0.041666666666666664,-0.0625,-0.06250000000000006
exp1,8,10.0,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.4166666666666667,-0.08333333333333333,0.125,0.125,0.125,-0.10416666666666667,0.125
exp1,8,50.0,0.5,0.5208333333333334,0.4166666666666667,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.0625,0.08333333333333333,0.0625,0.0625
exp1,9,10.0,0.2916666666666667,0.2916666666666667,0.4791666666666667,0.041666666666666664,-0.4583333333333333,-0.25,-0.25,-0.25,-0.4791666666666667,-0.25
exp1,9,50.0,0.5,0.5208333333333334,0.4166666666666667,0.08333333333333333,-0.4166666666666667,-0.4166666666666667,-0.4375,-0.4166666666666667,-0.4375,-0.43750000000000006
exp1,10,10.0,0.2916666666666667,0.2916666666666667,0.4166666666666667,0.6041666666666666,0.10416666666666667,0.3125,0.3125,0.3125,0.08333333333333333,0.31249999999999994
exp1,10,50.0,0.5,0.5208333333333334,0.4791666666666667,0.4791666666666667,-0.020833333333333332,-0.020833333333333332,-0.041666666666666664,-0.020833333333333332,-0.041666666666666664,-0.041666666666666685
exp1,11,10.0,0.2916666666666667,0.2916666666666667,0.4791666666666667,0.9791666666666666,0.4791666666666667,0.6875,0.6875,0.6875,0.4583333333333333,0.6875
exp1,11,50.0,0.5,0.5208333333333334,0.5,0.7708333333333334,0.2708333333333333,0.2708333333333333,0.25,0.2708333333333333,0.25,0.25
exp1,12,10.0,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.08333333333333333,-0.4166666666666667,-0.20833333333333334,-0.20833333333333334,-0.20833333333333334,-0.4375,-0.20833333333333337
exp1,12,50.0,0.5,0.5208333333333334,0.5625,0.1875,-0.3125,-0.3125,-0.3333333333333333,-0.3125,-0.3333333333333333,-0.33333333333333337
exp1,13,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.5,0.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,-0.020833333333333332,0.20833333333333331
exp1,13,50.0,0.5,0.5208333333333334,0.3125,0.5416666666666666,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.02083333333333326
exp1,14,10.0,0.2916666666666667,0.2916666666666667,0.4375,0.8125,0.3125,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.2916666666666667,0.5208333333333333
exp1,14,50.0,0.5,0.5208333333333334,0.2708333333333333,0.6041666666666666,0.10416666666666667,0.10416666666666667,0.08333333333333333,0.10416666666666667,0.08333333333333333,0.08333333333333326
exp1,15,10.0,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.5416666666666666,0.041666666666666664,0.25,0.25,0.25,0.020833333333333332,0.24999999999999994
exp1,15,50.0,0.5,0.5208333333333334,0.5,0.14583333333333334,-0.3541666666666667,-0.3541666666666667,-0.375,-0.3541666666666667,-0.375,-0.375
exp1,16,10.0,0.2916666666666667,0.2916666666666667,0.625,0.4166666666666667,-0.08333333333333333,0.125,0.125,0.125,-0.10416666666666667,0.125
exp1,16,50.0,0.5,0.5208333333333334,0.4791666666666667,0.20833333333333334,-0.2916666666666667,-0.2916666666666667,-0.3125,-0.2916666666666667,-0.3125,-0.3125
exp1,17,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.5416666666666666,0.041666666666666664,0.25,0.25,0.25,0.020833333333333332,0.24999999999999994
exp1,17,50.0,0.5,0.5208333333333334,0.3958333333333333,0.8541666666666666,0.3541666666666667,0.3541666666666667,0.3333333333333333,0.3541666666666667,0.3333333333333333,0.33333333333333326
exp1,18,10.0,0.2916666666666667,0.2916666666666667,0.5,0.4791666666666667,-0.020833333333333332,0.1875,0.1875,0.1875,-0.041666666666666664,0.1875
exp1,18,50.0,0.5,0.5208333333333334,0.5,0.5416666666666666,0.041666666666666664,0.041666666666666664,0.020833333333333332,0.041666666666666664,0.020833333333333332,0.02083333333333326
exp1,19,10.0,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.10416666666666667,-0.3958333333333333,-0.1875,-0.1875,-0.1875,-0.4166666666666667,-0.1875
exp1,19,50.0,0.5,0.5208333333333334,0.5,0.2916666666666667,-0.20833333333333334,-0.20833333333333334,-0.22916666666666666,-0.20833333333333334,-0.22916666666666666,-0.22916666666666669
exp1,20,10.0,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.4791666666666667,-0.020833333333333332,0.1875,0.1875,0.1875,-0.041666666666666664,0.1875
exp1,20,50.0,0.5,0.5208333333333334,0.4583333333333333,0.4166666666666667,-0.08333333333333333,-0.08333333333333333,-0.10416666666666667,-0.08333333333333333,-0.10416666666666667,-0.10416666666666669
exp1,21,10.0,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.9375,0.4375,0.6458333333333334,0.6458333333333334,0.6458333333333334,0.4166666666666667,0.6458333333333333
exp1,21,50.0,0.5,0.5208333333333334,0.6041666666666666,0.75,0.25,0.25,0.22916666666666666,0.25,0.22916666666666666,0.22916666666666663
exp1,22,10.0,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.5625,0.0625,0.2708333333333333,0.2708333333333333,0.2708333333333333,0.041666666666666664,0.2708333333333333
exp1,22,50.0,0.5,0.5208333333333334,0.4375,0.625,0.125,0.125,0.10416666666666667,0.125,0.10416666666666667,0.10416666666666663
exp1,23,10.0,0.2916666666666667,0.2916666666666667,0.5208333333333334,0.5208333333333334,0.020833333333333332,0.22916666666666666,0.22916666666666666,0.22916666666666666,0.0,0.22916666666666669
exp1,23,50.0,0.5,0.5208333333333334,0.3958333333333333,0.2708333333333333,-0.22916666666666666,-0.22916666666666666,-0.25,-0.22916666666666666,-0.25,-0.25000000000000006
exp1,24,10.0,0.2916666666666667,0.2916666666666667,0.5,0.2916666666666667,-0.20833333333333334,0.0,0.0,0.0,-0.22916666666666666,0.0
exp1,24,50.0,0.5,0.5208333333333334,0.5208333333333334,0.3541666666666667,-0.14583333333333334,-0.14583333333333334,-0.16666666666666666,-0.14583333333333334,-0.16666666666666666,-0.16666666666666669
exp1,25,10.0,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.4375,-0.0625,0.14583333333333334,0.14583333333333334,0.14583333333333334,-0.08333333333333333,0.14583333333333331
exp1,25,50.0,0.5,0.5208333333333334,0.6041666666666666,0.625,0.125,0.125,0.10416666666666667,0.125,0.10416666666666667,0.10416666666666663
exp1,26,10.0,0.2916666666666667,0.2916666666666667,0.5625,0.4166666666666667,-0.08333333333333333,0.125,0.125,0.125,-0.10416666666666667,0.125
exp1,26,50.0,0.5,0.5208333333333334,0.5,0.5,0.0,0.0,-0.020833333333333332,0.0,-0.020833333333333332,-0.02083333333333337
exp1,27,10.0,0.2916666666666667,0.2916666666666667,0.625,0.6666666666666666,0.16666666666666666,0.375,0.375,0.375,0.14583333333333334,0.37499999999999994
exp1,27,50.0,0.5,0.5208333333333334,0.5,0.6041666666666666,0.10416666666666667,0.10416666666666667,0.08333333333333333,0.10416666666666667,0.08333333333333333,0.08333333333333326
exp1,28,10.0,0.2916666666666667,0.2916666666666667,0.5208333333333334,0.8541666666666666,0.3541666666666667,0.5625,0.5625,0.5625,0.3333333333333333,0.5625
exp1,28,50.0,0.5,0.5208333333333334,0.6875,0.6458333333333334,0.14583333333333334,0.14583333333333334,0.125,0.14583333333333334,0.125,0.125
exp1,29,10.0,0.2916666666666667,0.2916666666666667,0.6041666666666666,0.625,0.125,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.10416666666666667,0.3333333333333333
exp1,29,50.0,0.5,0.5208333333333334,0.5208333333333334,0.5833333333333334,0.08333333333333333,0.08333333333333333,0.0625,0.08333333333333333,0.0625,0.0625
exp1,30,10.0,0.2916666666666667,0.2916666666666667,0.4791666666666667,0.7083333333333334,0.20833333333333334,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.1875,0.4166666666666667
exp1,30,50.0,0.5,0.5208333333333334,0.4791666666666667,0.7291666666666666,0.22916666666666666,0.22916666666666666,0.20833333333333334,0.22916666666666666,0.20833333333333334,0.20833333333333326
exp1,31,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.8125,0.3125,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.2916666666666667,0.5208333333333333
exp1,31,50.0,0.5,0.5208333333333334,0.4791666666666667,0.7708333333333334,0.2708333333333333,0.2708333333333333,0.25,0.2708333333333333,0.25,0.25
exp1,32,10.0,0.2916666666666667,0.2916666666666667,0.6041666666666666,0.4166666666666667,-0.08333333333333333,0.125,0.125,0.125,-0.10416666666666667,0.125
exp1,32,50.0,0.5,0.5208333333333334,0.5208333333333334,0.5,0.0,0.0,-0.020833333333333332,0.0,-0.020833333333333332,-0.02083333333333337
exp1,33,10.0,0.2916666666666667,0.2916666666666667,0.4375,0.2916666666666667,-0.20833333333333334,0.0,0.0,0.0,-0.22916666666666666,0.0
exp1,33,50.0,0.5,0.5208333333333334,0.6041666666666666,0.25,-0.25,-0.25,-0.2708333333333333,-0.25,-0.2708333333333333,-0.27083333333333337
exp1,34,10.0,0.2916666666666667,0.2916666666666667,0.5,0.5,0.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,-0.020833333333333332,0.20833333333333331
exp1,34,50.0,0.5,0.5208333333333334,0.5625,0.6875,0.1875,0.1875,0.16666666666666666,0.1875,0.16666666666666666,0.16666666666666663
exp1,35,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.9791666666666666,0.4791666666666667,0.6875,0.6875,0.6875,0.4583333333333333,0.6875
exp1,35,50.0,0.5,0.5208333333333334,0.4375,0.625,0.125,0.125,0.10416666666666667,0.125,0.10416666666666667,0.10416666666666663
exp1,36,10.0,0.2916666666666667,0.2916666666666667,0.625,0.0,-0.5,-0.2916666666666667,-0.2916666666666667,-0.2916666666666667,-0.5208333333333334,-0.2916666666666667
exp1,36,50.0,0.5,0.5208333333333334,0.5416666666666666,0.0,-0.5,-0.5,-0.5208333333333334,-0.5,-0.5208333333333334,-0.5208333333333334
exp1,37,10.0,0.2916666666666667,0.2916666666666667,0.5625,0.0,-0.5,-0.2916666666666667,-0.2916666666666667,-0.2916666666666667,-0.5208333333333334,-0.2916666666666667
exp1,37,50.0,0.5,0.5208333333333334,0.5208333333333334,0.020833333333333332,-0.4791666666666667,-0.4791666666666667,-0.5,-0.4791666666666667,-0.5,-0.5
exp1,38,10.0,0.2916666666666667,0.2916666666666667,0.4583333333333333,0.375,-0.125,0.08333333333333333,0.08333333333333333,0.08333333333333333,-0.14583333333333334,0.08333333333333331
exp1,38,50.0,0.5,0.5208333333333334,0.4791666666666667,0.4583333333333333,-0.041666666666666664,-0.041666666666666664,-0.0625,-0.041666666666666664,-0.0625,-0.06250000000000006
exp1,39,10.0,0.2916666666666667,0.2916666666666667,0.5208333333333334,0.8958333333333334,0.3958333333333333,0.6041666666666666,0.6041666666666666,0.6041666666666666,0.375,0.6041666666666667
exp1,39,50.0,0.5,0.5208333333333334,0.5625,0.875,0.375,0.375,0.3541666666666667,0.375,0.3541666666666667,0.35416666666666663
exp1,40,10.0,0.2916666666666667,0.2916666666666667,0.3333333333333333,0.7916666666666666,0.2916666666666667,0.5,0.5,0.5,0.2708333333333333,0.49999999999999994
exp1,40,50.0,0.5,0.5208333333333334,0.5208333333333334,0.4791666666666667,-0.020833333333333332,-0.020833333333333332,-0.041666666666666664,-0.020833333333333332,-0.041666666666666664,-0.041666666666666685
exp1,41,10.0,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.875,0.375,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.3541666666666667,0.5833333333333333
exp1,41,50.0,0.5,0.5208333333333334,0.5208333333333334,0.875,0.375,0.375,0.3541666666666667,0.375,0.3541666666666667,0.35416666666666663
exp1,42,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.3958333333333333,-0.10416666666666667,0.10416666666666667,0.10416666666666667,0.10416666666666667,-0.125,0.10416666666666663
exp1,42,50.0,0.5,0.5208333333333334,0.5208333333333334,0.3958333333333333,-0.10416666666666667,-0.10416666666666667,-0.125,-0.10416666666666667,-0.125,-0.12500000000000006
exp1,43,10.0,0.2916666666666667,0.2916666666666667,0.5208333333333334,0.4375,-0.0625,0.14583333333333334,0.14583333333333334,0.14583333333333334,-0.08333333333333333,0.14583333333333331
exp1,43,50.0,0.5,0.5208333333333334,0.5208333333333334,0.3333333333333333,-0.16666666666666666,-0.16666666666666666,-0.1875,-0.16666666666666666,-0.1875,-0.18750000000000006
exp1,44,10.0,0.2916666666666667,0.2916666666666667,0.6666666666666666,0.5,0.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,-0.020833333333333332,0.20833333333333331
exp1,44,50.0,0.5,0.5208333333333334,0.6666666666666666,0.4791666666666667,-0.020833333333333332,-0.020833333333333332,-0.041666666666666664,-0.020833333333333332,-0.041666666666666664,-0.041666666666666685
exp1,45,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.020833333333333332,-0.4791666666666667,-0.2708333333333333,-0.2708333333333333,-0.2708333333333333,-0.5,-0.27083333333333337
exp1,45,50.0,0.5,0.5208333333333334,0.5416666666666666,0.0625,-0.4375,-0.4375,-0.4583333333333333,-0.4375,-0.4583333333333333,-0.45833333333333337
exp1,46,10.0,0.2916666666666667,0.2916666666666667,0.375,0.4375,-0.0625,0.14583333333333334,0.14583333333333334,0.14583333333333334,-0.08333333333333333,0.14583333333333331
exp1,46,50.0,0.5,0.5208333333333334,0.3958333333333333,0.6458333333333334,0.14583333333333334,0.14583333333333334,0.125,0.14583333333333334,0.125,0.125
exp1,47,10.0,0.2916666666666667,0.2916666666666667,0.375,0.4583333333333333,-0.041666666666666664,0.16666666666666666,0.16666666666666666,0.16666666666666666,-0.0625,0.16666666666666663
exp1,47,50.0,0.5,0.5208333333333334,0.5833333333333334,0.6875,0.1875,0.1875,0.16666666666666666,0.1875,0.16666666666666666,0.16666666666666663
exp1,48,10.0,0.2916666666666667,0.2916666666666667,0.5416666666666666,0.4166666666666667,-0.08333333333333333,0.125,0.125,0.125,-0.10416666666666667,0.125
exp1,48,50.0,0.5,0.5208333333333334,0.5208333333333334,0.5,0.0,0.0,-0.020833333333333332,0.0,-0.020833333333333332,-0.02083333333333337
exp1,49,10.0,0.2916666666666667,0.2916666666666667,0.5833333333333334,0.2916666666666667,-0.20833333333333334,0.0,0.0,0.0,-0.22916666666666666,0.0
exp1,49,50.0,0.5,0.5208333333333334,0.5416666666666666,0.5,0.0,0.0,-0.020833333333333332,0.0,-0.020833333333333332,-0.02083333333333337
exp2,50,10.0,0.125,0.10416666666666667,0.5416666666666666,0.0625,-0.4375,-0.0625,-0.041666666666666664,-0.0625,-0.1875,-0.04166666666666667
exp2,50,50.0,0.20833333333333334,0.1875,0.5416666666666666,0.08333333333333333,-0.4166666666666667,-0.125,-0.10416666666666667,-0.125,-0.14583333333333334,-0.10416666666666667
exp2,51,10.0,0.125,0.10416666666666667,0.4791666666666667,0.5,0.0,0.375,0.3958333333333333,0.375,0.25,0.3958333333333333
exp2,51,50.0,0.20833333333333334,0.1875,0.4166666666666667,0.625,0.125,0.4166666666666667,0.4375,0.4166666666666667,0.3958333333333333,0.4375
exp2,52,10.0,0.125,0.10416666666666667,0.5,0.7291666666666666,0.22916666666666666,0.6041666666666666,0.625,0.6041666666666666,0.4791666666666667,0.625
exp2,52,50.0,0.20833333333333334,0.1875,0.4583333333333333,0.4583333333333333,-0.041666666666666664,0.25,0.2708333333333333,0.25,0.22916666666666666,0.2708333333333333
exp2,53,10.0,0.125,0.10416666666666667,0.5833333333333334,0.8958333333333334,0.3958333333333333,0.7708333333333334,0.7916666666666666,0.7708333333333334,0.6458333333333334,0.7916666666666667
exp2,53,50.0,0.20833333333333334,0.1875,0.6041666666666666,0.9791666666666666,0.4791666666666667,0.7708333333333334,0.7916666666666666,0.7708333333333334,0.75,0.7916666666666666
exp2,54,10.0,0.125,0.10416666666666667,0.4583333333333333,0.5208333333333334,0.020833333333333332,0.3958333333333333,0.4166666666666667,0.3958333333333333,0.2708333333333333,0.4166666666666667
exp2,54,50.0,0.20833333333333334,0.1875,0.4791666666666667,0.6458333333333334,0.14583333333333334,0.4375,0.4583333333333333,0.4375,0.4166666666666667,0.45833333333333337
exp2,55,10.0,0.125,0.10416666666666667,0.5416666666666666,0.4166666666666667,-0.08333333333333333,0.2916666666666667,0.3125,0.2916666666666667,0.16666666666666666,0.3125
exp2,55,50.0,0.20833333333333334,0.1875,0.4583333333333333,0.5,0.0,0.2916666666666667,0.3125,0.2916666666666667,0.2708333333333333,0.3125
exp2,56,10.0,0.125,0.10416666666666667,0.6666666666666666,0.1875,-0.3125,0.0625,0.08333333333333333,0.0625,-0.0625,0.08333333333333333
exp2,56,50.0,0.20833333333333334,0.1875,0.5625,0.041666666666666664,-0.4583333333333333,-0.16666666666666666,-0.14583333333333334,-0.16666666666666666,-0.1875,-0.14583333333333334
exp2,57,10.0,0.125,0.10416666666666667,0.4583333333333333,0.7083333333333334,0.20833333333333334,0.5833333333333334,0.6041666666666666,0.5833333333333334,0.4583333333333333,0.6041666666666667
exp2,57,50.0,0.20833333333333334,0.1875,0.5833333333333334,0.6666666666666666,0.16666666666666666,0.4583333333333333,0.4791666666666667,0.4583333333333333,0.4375,0.47916666666666663
exp2,58,10.0,0.125,0.10416666666666667,0.4375,0.4791666666666667,-0.020833333333333332,0.3541666666666667,0.375,0.3541666666666667,0.22916666666666666,0.375
exp2,58,50.0,0.20833333333333334,0.1875,0.4375,0.5208333333333334,0.020833333333333332,0.3125,0.3333333333333333,0.3125,0.2916666666666667,0.33333333333333337
exp2,59,10.0,0.125,0.10416666666666667,0.5833333333333334,0.5833333333333334,0.08333333333333333,0.4583333333333333,0.4791666666666667,0.4583333333333333,0.3333333333333333,0.4791666666666667
exp2,59,50.0,0.20833333333333334,0.1875,0.3958333333333333,0.5416666666666666,0.041666666666666664,0.3333333333333333,0.3541666666666667,0.3333333333333333,0.3125,0.35416666666666663
exp2,60,10.0,0.125,0.10416666666666667,0.4791666666666667,0.8125,0.3125,0.6875,0.7083333333333334,0.6875,0.5625,0.7083333333333334
exp2,60,50.0,0.20833333333333334,0.1875,0.4375,0.8958333333333334,0.3958333333333333,0.6875,0.7083333333333334,0.6875,0.6666666666666666,0.7083333333333334
exp2,61,10.0,0.125,0.10416666666666667,0.5,0.7916666666666666,0.2916666666666667,0.6666666666666666,0.6875,0.6666666666666666,0.5416666666666666,0.6875
exp2,61,50.0,0.20833333333333334,0.1875,0.5833333333333334,0.3958333333333333,-0.10416666666666667,0.1875,0.20833333333333334,0.1875,0.16666666666666666,0.20833333333333331
exp2,62,10.0,0.125,0.10416666666666667,0.5833333333333334,0.6875,0.1875,0.5625,0.5833333333333334,0.5625,0.4375,0.5833333333333334
exp2,62,50.0,0.20833333333333334,0.1875,0.6041666666666666,0.5833333333333334,0.08333333333333333,0.375,0.3958333333333333,0.375,0.3541666666666667,0.39583333333333337
exp2,63,10.0,0.125,0.10416666666666667,0.7291666666666666,0.6666666666666666,0.16666666666666666,0.5416666666666666,0.5625,0.5416666666666666,0.4166666666666667,0.5625
exp2,63,50.0,0.20833333333333334,0.1875,0.5833333333333334,0.4791666666666667,-0.020833333333333332,0.2708333333333333,0.2916666666666667,0.2708333333333333,0.25,0.2916666666666667
exp2,64,10.0,0.125,0.10416666666666667,0.375,0.875,0.375,0.75,0.7708333333333334,0.75,0.625,0.7708333333333334
exp2,64,50.0,0.20833333333333334,0.1875,0.4583333333333333,0.6041666666666666,0.10416666666666667,0.3958333333333333,0.4166666666666667,0.3958333333333333,0.375,0.41666666666666663
exp2,65,10.0,0.125,0.10416666666666667,0.5208333333333334,0.020833333333333332,-0.4791666666666667,-0.10416666666666667,-0.08333333333333333,-0.10416666666666667,-0.22916666666666666,-0.08333333333333334
exp2,65,50.0,0.20833333333333334,0.1875,0.6041666666666666,0.2916666666666667,-0.20833333333333334,0.08333333333333333,0.10416666666666667,0.08333333333333333,0.0625,0.10416666666666669
